file,x1,y1,x2,y2,width,height
00_总览切块/01_主界面完整.png,8,52,452,934,444,882
00_总览切块/02_导航与通用UI.png,458,53,994,480,536,427
00_总览切块/03_货币与道具.png,997,52,1485,485,488,433
00_总览切块/04_商店素材.png,457,484,993,811,536,327
00_总览切块/05_战斗界面素材.png,997,484,1485,812,488,328
00_总览切块/06_仓库素材.png,456,815,779,1011,323,196
00_总览切块/07_升级模块素材.png,778,814,1149,1011,371,197
00_总览切块/08_资源目录建议.png,1148,814,1487,1011,339,197
01_按钮/主按钮_开始.png,524,88,629,135,105,47
01_按钮/主按钮_确定.png,638,88,746,135,108,47
01_按钮/主按钮_取消.png,756,88,863,135,107,47
01_按钮/主按钮_挑战.png,872,88,978,135,106,47
01_按钮/次按钮_领取.png,526,144,608,179,82,35
01_按钮/次按钮_升级.png,616,144,699,179,83,35
01_按钮/次按钮_购买.png,708,144,792,179,84,35
01_按钮/次按钮_使用.png,801,144,884,179,83,35
01_按钮/次按钮_一键领取.png,892,144,979,179,87,35
01_按钮/页签_主角.png,524,184,634,216,110,32
01_按钮/页签_伙伴.png,640,184,752,216,112,32
01_按钮/页签_职业.png,757,184,867,216,110,32
01_按钮/页签_培养.png,873,184,981,216,108,32
02_导航/底部导航_商店.png,525,224,610,302,85,78
02_导航/底部导航_英雄.png,612,224,697,302,85,78
02_导航/底部导航_战斗.png,699,224,784,302,85,78
02_导航/底部导航_仓库.png,786,224,871,302,85,78
02_导航/底部导航_升级.png,873,224,980,302,107,78
03_通用图标/主页.png,526,314,561,352,35,38
03_通用图标/返回.png,568,314,603,352,35,38
03_通用图标/设置.png,610,314,646,352,36,38
03_通用图标/邮件.png,652,314,690,352,38,38
03_通用图标/声音.png,695,314,730,352,35,38
03_通用图标/帮助.png,738,314,772,352,34,38
03_通用图标/信息.png,779,314,812,352,33,38
03_通用图标/勾选.png,818,314,854,352,36,38
03_通用图标/复选框.png,861,314,895,352,34,38
03_通用图标/红点.png,903,314,938,352,35,38
04_面板标题/功能标题.png,522,361,681,418,159,57
04_面板标题/普通面板.png,687,360,846,458,159,98
04_面板标题/警告标题.png,852,361,977,413,125,52
04_面板标题/活动标题.png,850,417,936,459,86,42
04_面板标题/提示气泡.png,938,414,986,461,48,47
05_货币道具/带标签/01_01_金币.png,1011,84,1085,170,74,86
